assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,timeOnIcePerGame
186,79.0,227.0,,17,653,103,Angotti,0,220,8444952,-28.0,289,0.44257,C,21.0,52.0,3.0,10.0,0.1199,R,859.0,Lou Angotti,
0,0.0,0.0,,0,2,0,Anslow,0,0,8444953,,0,0.0,C,0.0,0.0,0.0,0.0,,L,,Hub Anslow,
231,159.0,341.0,,26,423,201,Apps,3,56,8444954,,432,1.02127,C,40.0,83.0,2.0,8.0,,L,,Syl Apps,
58,11.0,65.0,,1,626,12,Arbour,0,611,8444955,62.0,70,0.11182,D,1.0,1.0,0.0,4.0,,L,180.0,Al Arbour,
17,,,,5,114,52,Arbour,1,78,8444956,,69,0.60526,L,,,,,,L,,Amos Arbour,
51,5.0,42.0,,0,255,11,Anderson,0,117,8444957,4.0,62,0.24313,D,6.0,19.0,0.0,1.0,0.0514,L,214.0,Shawn Anderson,
99,21.0,116.0,,5,519,22,Anderson,0,1086,8444961,-64.0,121,0.23314,D,1.0,5.0,0.0,0.0,0.05978,L,368.0,Russ Anderson,
41,4.0,27.0,,3,172,10,Andersson,1,81,8444962,17.0,51,0.29651,D,6.0,24.0,0.0,0.0,0.04761,R,210.0,Peter Andersson,
169,75.0,215.0,0.4188,13,761,95,Andersson,2,134,8444963,-1.0,264,0.34691,R,6.0,24.0,14.0,25.0,0.08504,L,1117.0,Mikael Andersson,
1,,,,1,47,5,Arbour,0,58,8444964,,6,0.12765,D,,,,,,L,,Jack Arbour,
9,1.0,10.0,,0,106,1,Arbour,0,149,8444966,-21.0,10,0.09433,D,0.0,0.0,0.0,0.0,0.0097,L,103.0,John Arbour,
28,,,,6,207,28,Arbour,1,110,8444967,,56,0.27053,L,,,,,,L,,Ty Arbour,
0,0.0,0.0,,0,3,0,Archambault,0,0,8444969,-3.0,0,0.0,L,0.0,0.0,0.0,0.0,0.0,L,1.0,Michel Archambault,
86,11.0,77.0,,1,541,13,Armstrong,0,671,8444970,-38.0,99,0.18299,D,2.0,17.0,0.0,5.0,,R,216.0,Bob Armstrong,
417,224.0,528.0,,43,1188,296,Armstrong,0,726,8444971,101.0,713,0.60016,R,64.0,162.0,8.0,23.0,,R,1748.0,George Armstrong,
121,63.0,174.0,,10,270,67,Armstrong,1,82,8444972,,188,0.69629,C,4.0,14.0,0.0,0.0,,L,,Murray Armstrong,
1,1.0,2.0,,0,7,1,Armstrong,0,2,8444973,1.0,2,0.28571,R,0.0,0.0,0.0,0.0,0.5,L,2.0,Norm Armstrong,
0,0.0,0.0,,0,3,0,Arundel,0,9,8444979,,0,0.0,D,0.0,0.0,0.0,0.0,,L,,John Arundel,
70,10.0,61.0,,2,284,15,Ashbee,0,291,8444980,48.0,85,0.29929,D,4.0,20.0,1.0,4.0,0.0436,R,344.0,Barry Ashbee,
4,5.0,9.0,,0,18,5,Ashworth,0,2,8444981,,9,0.5,C,0.0,0.0,0.0,0.0,,L,,Frank Ashworth,
23,5.0,18.0,,1,111,11,Asmundson,0,30,8444982,,34,0.3063,C,1.0,1.0,0.0,0.0,,R,,Ossie Asmundson,
8,12.0,19.0,,1,49,13,Atanas,0,40,8444983,,21,0.42857,R,0.0,1.0,1.0,1.0,,R,,Walt Atanas,
51,49.0,91.0,,4,302,60,Atkinson,0,104,8444984,-50.0,111,0.36754,R,8.0,17.0,3.0,3.0,0.11009,R,545.0,Steve Atkinson,
7,0.0,5.0,,0,22,1,Attwell,0,8,8444985,-10.0,8,0.36363,R,1.0,3.0,0.0,0.0,0.0303,R,33.0,Ron Attwell,
12,20.0,30.0,,3,50,20,Aubuchon,0,4,8444986,,32,0.64,L,0.0,2.0,0.0,0.0,,L,,Ozzie Aubuchon,
